Current Fee Category,Keyword's Recommended Seller Facing Fee Category,SPS Team Next Step for JP marketplace
Video Games and Gaming Accessories,Amazon Device Accessories,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Watches,Amazon Device Accessories,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Office Products,"Business, Industrial, and Scientific Supplies","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Lawn and Garden,"Business, Industrial, and Scientific Supplies","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Everything Else,"Business, Industrial, and Scientific Supplies","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Furniture,"Business, Industrial, and Scientific Supplies","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Home and Kitchen,"Business, Industrial, and Scientific Supplies","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Mattresses,"Business, Industrial, and Scientific Supplies","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Media - Books, DVD, Music, Software, Video","Business, Industrial, and Scientific Supplies","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Tools and Home Improvement,"Business, Industrial, and Scientific Supplies","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Video Games and Gaming Accessories,"Business, Industrial, and Scientific Supplies","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Watches,"Business, Industrial, and Scientific Supplies","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Business, Industrial, and Scientific Supplies",Everything Else,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Furniture,Everything Else,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Home and Kitchen,Everything Else,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Mattresses,Everything Else,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Media - Books, DVD, Music, Software, Video",Everything Else,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Tools and Home Improvement,Everything Else,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Video Games and Gaming Accessories,Everything Else,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Watches,Everything Else,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Business, Industrial, and Scientific Supplies",Furniture,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Everything Else,Furniture,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Home and Kitchen,Furniture,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Mattresses,Furniture,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Media - Books, DVD, Music, Software, Video",Furniture,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Tools and Home Improvement,Furniture,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Video Games and Gaming Accessories,Furniture,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Watches,Furniture,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Business, Industrial, and Scientific Supplies",Home and Kitchen,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Everything Else,Home and Kitchen,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Furniture,Home and Kitchen,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Mattresses,Home and Kitchen,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Media - Books, DVD, Music, Software, Video",Home and Kitchen,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Tools and Home Improvement,Home and Kitchen,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Video Games and Gaming Accessories,Home and Kitchen,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Watches,Home and Kitchen,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Business, Industrial, and Scientific Supplies",Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Everything Else,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Furniture,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Home and Kitchen,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Media - Books, DVD, Music, Software, Video",Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Tools and Home Improvement,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Video Games and Gaming Accessories,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Watches,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Business, Industrial, and Scientific Supplies","Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Everything Else,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Furniture,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Home and Kitchen,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Mattresses,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Tools and Home Improvement,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Video Games and Gaming Accessories,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Watches,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Business, Industrial, and Scientific Supplies",Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Everything Else,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Furniture,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Home and Kitchen,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Mattresses,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Media - Books, DVD, Music, Software, Video",Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Tools and Home Improvement,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Video Games and Gaming Accessories,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Watches,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Business, Industrial, and Scientific Supplies",Tools and Home Improvement,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Everything Else,Tools and Home Improvement,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Furniture,Tools and Home Improvement,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Home and Kitchen,Tools and Home Improvement,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Mattresses,Tools and Home Improvement,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Media - Books, DVD, Music, Software, Video",Tools and Home Improvement,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Video Games and Gaming Accessories,Tools and Home Improvement,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Watches,Tools and Home Improvement,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Business, Industrial, and Scientific Supplies",Video Games and Gaming Accessories,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Everything Else,Video Games and Gaming Accessories,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Furniture,Video Games and Gaming Accessories,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Home and Kitchen,Video Games and Gaming Accessories,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Mattresses,Video Games and Gaming Accessories,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Media - Books, DVD, Music, Software, Video",Video Games and Gaming Accessories,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Tools and Home Improvement,Video Games and Gaming Accessories,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Watches,Video Games and Gaming Accessories,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Business, Industrial, and Scientific Supplies",Watches,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Everything Else,Watches,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Furniture,Watches,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Home and Kitchen,Watches,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Mattresses,Watches,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Media - Books, DVD, Music, Software, Video",Watches,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Office Products,Lawn and Garden,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Tools and Home Improvement,Watches,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Video Games and Gaming Accessories,Watches,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Office Products,Everything Else,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Lawn and Garden,Everything Else,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
